DECISION (H/M),YOUR_SCORE,ORIG_INDEX,STRING
human or machine,0.042,120,sprsppsprprpspsprssppsprsprsrrsrsprrrprpsssssrrsrsssrrsprrspsrrpsrsrprpppsrsprpsspsppssrpspppprprrspsrsrrrppssrspsprsssppsssrsrrrspspprsppppsrsrssrrrrrpppsrsppssssrrsrrsspssspsssrsrprprsrrrssssspsrpsrrsssssppsrsrrpsrpppspsppsrrrsrssprrssrrsrrspssrpprprsrprrpspprsprsppprrpsprpprrppssspppsrrrsrpppprrr
human or machine,0.042,121,srsprsprpsprspprrrpspsrsppppsssrspsrprsprsrpsprspprsssprpprpspsrsrsrspprpsppsrsprsprpsrpsrppsrsrpspprsprpsrpsrpsprspprsprpspsprprsprpsrpsprrspspspsrpsrrsprsprsrsprsprpsprspprrrpspsrsppppsssrspsrprsprsrpsprspprsssprpprpspsrsrsrspprpsppsrsprsprpsrpsrppsrsrpspprsprpsrpsrpsprspprsprpspsprprsprpsrpsprrsp
human or machine,0.042,122,rpsprprpsprppsprprprrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss
human or machine,0.042,123,prsprprpsprsprpsprpsprspprsprpsprsrpspsrrpsrpsrsprsprprpsprsprpsprpsprspprsprpsprsrpspsrrpsrpsrsprsprprpsprsprpsprpsprspprsprpsprsrpspsrrpsrpsrsprsprprpsprsprpsprpsprspprsprpsprsrpspsrrpsrpsrsprsprprpsprsprpsprpsprspprsprpsprsrpspsrrpsrpsrsprsprprpsprsprpsprpsprspprsprpsprsrpspsrrpsrpsrsprsprprpsprs
human or machine,0.042,124,sprprrrpsrsprpsprpsssspprpsrrssrrssspsrpsrrssrssrrsrprsrrrssrsrrrrsspspppsrsrrspssrsspspssspppsssrrrrspprsrrrssppprrrssrsppssrsrpppppprrspsssrpppssrssrspsrrpsrpppssrrrssprrsrrppssprrspprpprrrsrrsrrppsprrsssrrpspsrprpsrsssprpsrprrsrrpsrpssspsrrrrrrpprrprpsprpsppprpspppspsssssprrsssppsrprspssssrprrssp
human or machine,0.042,125,ssprrpssrprprpsrsrpsrprpprrrrpsprrppprrrrrssrsprppsrrppsrsprrsrprpsprpsrsssrssrrsssrrrrpppsprrsprspprsprprspppssprrrprppsrppsrrpsssssprrrrsssrprrsrsrpssprssppsrprprsrrsrrsrrpsrrsrsrpsrssprrsrsprrrrppprsrrspprrppsssssrsprpsrsssrpsrsrsspsssppppspspppsssssrsrrsrprpsrrsprrrpsprrppsprrssrspsrrspsrrrprpss
human or machine,0.042,126,srpsprpsprsprpsprpsrpsprpsrpsprpsrpsprpsprpsrpsrpsprpsrpsppsprpsprsprprspsrpspsrpsprsprpsrprsprspsprpspsrsppsrprsprsppsprsprpsprpsprsprpspprspsprpspsrpsrprspsrprsprspsrppsrpsrpsrpsrppsrpsrpsprpsrpsrpsrsprpsprpsrpsprpsrpsprpsrpsrsprsprpsrprsprsprsrpsprrpsrpsrpsprprprpsrsprprsprsprsprsprsprsprsprprspr
human or machine,0.042,127,rpsprpsrpsrpsrpsrpsrpsprpsrpsrpsrpsrpsrpsprpsrpsrpsrpsrpsrpsprpsrpsrpsrpsrpsrpsprpsrpsrpsrpsrpsrpsprpsrpsrpsrpsrpsrpsprpsrpsrpsrpsrpsrpsprpsrpsrpsrpsrpsrpsprpsrpsrpsrpsrpsrpsprpsrpsrpsrpsrpsrpsprpsrpsrpsrpsrpsrpsprpsrpsrpsrpsrpsrpsprpsrpsrpsrpsrpsrpsprpsrpsrpsrpsrpsrpsprpsrpsrpsrpsrpsrpsprpsrpsrpsrp
human or machine,0.042,128,ppsrsrprrppsprsssrsrpsprrspsrsspppsrrsppprpppsrpsrpprrrrpsrsrprrpprpsspprprprprrprrrppssspprpprrrpspppsrsrprppprrpprrpsrrsrprrpppprrrrsprrspprprrpprssprrprprsspssprpssrrppppssprssspsspprsrrrssppssrrpprspssrppprrpsrrsrsrssrrspsrrpsrrrrrrssrprrsprrsssrpspprspprrsrssprprpppsssrprspsrrsrpssssrspppprprrr
human or machine,0.042,129,prsprpsrpsrpsprsprsprpsprsprpsrpsprsrpsprpsrpsrpsprpsrpsprpsrpsprpsrpsprsprpsprpsrpsprpsprpsrpsprpsprsprpsprpsrpsprpsrpsprsprsrpsrpsprpsrprpsprpsrpsrpsprsprsprpsprsprpsprspprpsrpsrprpsprpsprsprpsrsprrprsprsprsprpsprprpsrssrpsrsprsprpsprpsrpsprsprpsrpsrpsprsprsprpsprsprpsrpsprsrpsprpsrpsrpsprpsrpsprp
human or machine,0.042,130,sprsprsprsrsrsprspsrprsprsprsprsprsprsprspsrprsprsprspsrprspsrprsprsprsprspsrprsprsprsprsrpsrsprsprsprsprsprsprsprsrsprprssrppsrprsprsrsprsprsprspsrpsrsrpsrprsprsprspsrprspsrpsrprssrpsrprsprsprsprsprssprsprsprpsrspsrpsrrspsrprsrspspsrprpsrprssprsrpsrpsrpsrpsrpsrpsrsprsrpsrpsrprsprspsrprsprspsrsrprsp
human or machine,0.042,131,prsprsprspprsprsprsprsprsprsprpsprsprsprsprsprsprsprsprsprsprspprsprsprsprspprsprspppprspsrprsppspspspssprppppppppppppppppsrssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssrspsprspsprprsprspsrprsprspsrprsprsprsprsprspprsprsprsprsprsprsprsprspprprsprsprsrpspsprprsprspr
human or machine,0.042,132,rpsprspprpsprpsprpsprpsprpsprpsrpsprpprsprprpsrsrrprsrsprprpsrsrprrrsrpsprpsprsppssrspprpprpspprpsprpsrpprpspprpsprppsprpsprppsprppsppsrpspprpsrppsprsprppsprpssprspsrpsrpspspsrpsprpsrpsprsprppsrpsprrsrpsprpsrpsprrsssssrpsrpspprspprsprpprpsprrpsrppspprsppprprrpprpspprprppppppppppppppppppppppppppppppp
human or machine,0.042,133,sprsprpsprpsprpsprpsprsprpsprpsprpsprsprppsrpsrprprpsprpprspsrpsrpsprsprpsprpsprpsrpsprpsrppsrpsprpsrpsprpsprsprpsprpsprpsprpsprsprpsprpspsprpsprpsrprsprspsprsprspsrpsprpsprpsprspprsprpspprpsrpspsprpsprsprpsprpsrpsprpspprpsprpsprppspsrprpsrprpsprprpsrpsprpsrpsprpsprpsprpsprpsrpsprsprpsprpsprsprpsprp
human or machine,0.042,134,spprsrsspppsspssrpprspprprpsrrssrsrrpssppprsppppsrpsrrrspprssprssrsprrsrprsprspssssrpsrpspsprppsrrssspsrprpssprpsssrsssppprrprssssrrsrpppppssppppspspsrpprrssspssssppsrrrsprrspsrpssssrrsrsrrpsprspspssrpsspsssprprrsrssssrpppppsrpsppsrpppsrrrsrrrrspspsrrprprrsrrrrpppprsrpppprrsrppssrppppsprpprpppssppsp
human or machine,0.042,135,rppsrpsprsprsprsprsprsprsprspprsprsprsprsrsprsprsprsprspprsprprsprsprsprsprsprsprsprspprsrspprsprsprspprsprsprsprsprsprsprsprsprsprsprsprsprsprsprspprsprsprsprsprsprsprsprsprspprsprsprsprsprsprsprsprsprprprprprsprspprsprsprsprsprsprsprsprsprsprspprsprsprsprsprsprsprsprsprspprsprsprsprsprsprsprspprsp
human or machine,0.042,136,ppssssprpspprpssssrsppsrpsrsrrpsrrrsppprspsprprsppssppsprspprprrrrrsspsrrppppsprsppsrsrpsrpppsspsrsrrsppsrsrspsrpsrrppprspspsrsrsspsppssssppppspspsprrpppspsrrrspsprrrprprrspsrprrssrsprssprssprrprrpprrrrsrsrprpssrrrrpprprrsssppsssprrpsrspsprrsprpsrsprrspprppsrpppspprsrrrssrprpsprsrppsrpsrprsrpsrprppp
human or machine,0.042,137,rppspprrrssrssrpsspsppprpprrrprrpsrspspsrspsprrrsppssppsppprrsrrsppssrrspsrssrppssrprrrsspsssppprrprprsspsrpsprrrrsrsssprsprrspssspsrsspppprprrpsspsrpsssrrspprsrpssrrrrsspsrsppsrppsssrpspsprsrrrsrpppppsssrpprsssprpsssprsprrrrsssspsrssrrrppspprssrpprrrpsppsppsppsppssrsssrssspsrrspppsprrrspsrrrsppprpp
human or machine,0.042,138,pssprsprsrrsprsrssrpppsprprprprsrprpsprppsrspssrrsprsspssrssrsrrrssprprrpsrprsprrrrrpssrrrsprpprrrssppprprprpppppppsrrssssrrrsssrppprssrpprpsrrsssppppssspprprppsspssrsrppsrrrspssrrsspsrpspprrrrrrspssprpppspssrrspsppsprrrsppppsppspprrsssrsprrppprssprspsssssrprpssspsrspspprppppprprpsrrspssrppsrrrrsrrs
human or machine,0.042,139,spspsspsssrsrsrsrpsrpsrpsrpspsrpsrpsrpssprrspsrpsrpsrsspsspsspsrprrsrpsrpsrpsrpsrpsrpsrprspsrpsrsrpsrprspsrpsrprspsrpsrpssrpsrrpspspspspspsrprprprpspspsspsssrsrsrsrpsrpsrpsrpspsrpsrpsrpssprrspsrpsrpsrsspsspsspsrprrsrpsrpsrpsrpsrpsrpsrprspsrpsrsrpsrprspsrpsrprspsrpsrpssrpsrrpspspspspspsrprprprpspspss
human or machine,0.042,140,prrsppsprsprssrpprppssprssssprpssrprsprssprsspsrrppppssrrrspsprprpprsrsrrssrsssrrprrpsssrprprrrsssrprrsrpsrsrrrpsppsprssrrrsrppsppssrrrssppsprrrpsssprpsprpsppppssrrpsrsprrrrpprpppsspprrrrrsspppprrpsprrspsssppppsrrsrprsssrrpppsrssrrsrppssrpsppsprsrrrrrsrrrrssrssrrpprrsrsprppsspsprrrrpsssrrssrsprrpssp
human or machine,0.042,141,pppspprrrprsprrppprspsrrsrrpprsrpsppprrrrsssprpprrsrpppppprsspppprrrpssppppsprrpprprpprrprrrrrpprprrprrprprssrpprspppprprrsrsppsrrpsrprrsprrrrrrprsrppssrrrrrpsprssrssspsrssssrpprspprssrrpsrpsprrspprsssrrrssssspprssrrsssrpppssprpprpprpsppsrspspsrsspppprrssrppsssrppprppsrsssrsrsrrssprrsppsrspsrssppssr
human or machine,0.042,142,psrpppsrrsprpsrrprssrprsrprspsrrpsrrpssrprprpsrsrsrprprsrpsrprssrsprrrpssrpsppprsprpsrprprprrrsssprprrpssssrrpprsprpsrpsrpsprpsprrrpsrpsrpppsrrsprpsrrprssrprsrprspsrrpsrrpssrprprpsrsrsrprprsrpsrprssrsprrrpssrpsppprsprpsrprprprrrsssprprrpssssrrpprsprpsrpsrpsprpsprrrpsrpsrpppsrrsprpsrrprssrprsrprspsrr
human or machine,0.042,143,rpprrprpprssssprprsssprsrprspprrprsssrssssrpsspsprprrprrrspspsrssrprpprrppsprsprpppsrrspssrpsrprrrpsrrrrrpspprrppspsrrsrsspprprppsrpspsrpspsrprpspsprspssrrsprspssrrspppsrssspsspsrrsssrrprrrssprrprppsrrrpssprsrrppprsrsprrppprsprssprssrrrssrsrrspsrrsrpsrsrsrsssprppsrpprrpspprsspsrspsrsssrrpsrrrrrspssr
human or machine,0.042,144,rppprrprprrsprssrprpspsppspprsrsppspprrsrpsrrrsrrrsspssprsprsrrppprprpppppspsprprsssrpsrsrpssspppsrssrrrrppsprsrpppsppprpssppsprpprrrrrpsrrsrsppspsrppprsppprprrsrpssppprpppppspppsrrprspssrppspppspprssppppssrssssrpsprsrsrsrspsssprssprspsprspprrrrpsppprpspssppppsrsrssrssprssrprsrsprpsrpsrrsrrsrrspprrp
human or machine,0.042,145,ppsprpsprpsprpsprpsprpsprppsrpsprpsprpsprsprpsprpsprpsprpsprpsprpsprsprpprpsprpppprsprpspppspprsprpsrpspsprpsprpsrpsprsrpsprpsprpsprppsprpsprpsprpsprpsprppspppspspsppsrpprppsprpsprspprsprsprpsprpsprpsprsprpspprpsprppsrprpsprpspprpsprsrspppsprpsprsrsrsrsrsrsrsrsprpsrppsprssrsssssssssrrsrsrsprpssrpsrp
human or machine,0.042,146,prpppppsssrsppsrprrrsrspprssrsppsprpsrrprsrrpppprrrppprpssrrrrsssprpppssrrrpprrrpssprprssprprpprssrrppspssrsrrrrrrspsssprrsppssrrprsspppssspspsrrrssssspsssprsssrrsssprrpssrsrssrsspspsrsprpsppprprspspsssprspppprrrrpssssppssppppspprsprssrprrpprrspspsssspprprssrsspsrprspsspsrrsrrrpprrprpprpsssrsspsprrs
human or machine,0.042,147,rpsprrspprsprpsrpsrpsprpsrpsrpsrpsrpsrpprssprprssprpsrpsrpsprsprsprpsrpsprsprpsrpsrpsprpsrpsprsprpsrpsppsprpsrpsrpsprsprpsrpsprpsprpsrprpsprprsprpsrprpsprsprpsrpsrpsrprpsprspsrpsrpsprpsrpsrpsprprsprpsprprpsprsprpsprpsrpsprpsrpsprpsrpsrpsprpsrpsprpsprpsrpsrpsprpsrpsrpsrpsrpsrpsrppsrpsrprspsrprspsrpsr
human or machine,0.042,148,ssrrprsssrpsprpssspsppssrprssprsprsrsprrrsrrrrrsrsrsrprrpppsrspprpprsssrrsrrppsrrsrprspssrppsprpsrpprrrsrpprspsrspsrrrrrsssrspsspprrppprssssrrppssrrppsrsprrpsrrrspssrprssrrprrpssrpssrrprrsssrrppssprpssspspprsspspssssrpprpssrrrprspsrrpprpprspsprsrrpprsspsspprrssprrrpsssrpppsrssrpsrspprrsppsprprppsrpp
human or machine,0.042,149,rpsprpsprpsppppsprpsprpsrpsprpsppppprpprprprpprspprsprppsrpsprpsrpppprpprpsprpsrsprpsprpsprpsprpsrppppprsrpsrsrsrsrpsrrrrrrrsssspprsprsprsprsprpppprrrrsssppprprsrsrsrsrppprsprsrsrrrrprspsrpsprsrpsrpsprpsrpsprpsrpsprpsrpsrpsrpsprpsrpsprprppsrpsprrrrpsrprspsprpsprpsrpsprpsprpsrpsrppsprspprsrrsrsspsprp
human or machine,0.042,150,pprpppppsprpsprpsrsrrrrpspsprpsprpsrpsprpsprprsprpsprpsrpsprpsrpsprspprpsrspprprprprrrsppsprpprprprrrrsppssprsrpprprpspprsprpprprpspprppsrpsprsprpsppsprsprpsprpsrpsprpsprpsprpsprpsrpsprpsrpsprpsprpsrpsprpsrsprsprpsprpsrpsprpsprpsrpsprpsprpsprsprpsprsprpsprpsprsprpsprsprpsprpsprpsrpsprpsprpsrpsprpspr
human or machine,0.042,151,srrprprpssprsprsrrprrspssppsrpsrsprrppsrrrppspsppspsprrrpspspppsrsrpprsppppsrrrpsssprprsssprsrrrsrpssrpsrpppssrpprrrspprsssrprrppprpsrpprrrprsrrssprrrsspsrrrspsrprsrsprpprrrsrsprrppssppsspspspprrrspspspsrrprrsppsrrrsppssrprprsrpssprssprspsrsssprrpprspsppssprrsrrprppspprrrrrprrrppsrsssssssrprrssprrsp
human or machine,0.042,152,ssrrrsrpprpssssrrsspsspsprppsrsrrrrsppppprpssssprrsppprsprrsppprrpppppppspssrrsrrpsrssrpspsrsrssprprpprsrsspppssrprrspspsrrsspssrrspsrprspsprpsrrrsssrsrpsspsppprrsspprsrpprppprrssspprppspprpsrspppppspprrpspprrpprrspsrsssrpsssprrssppsppsrrrspsspprssssrprssppsrpsprsrrsrprpprpsrsprrrrsssspprrspsrpssprr
human or machine,0.042,153,rsrpsrrrpssrpsrrrsrsppppsrpspssrrpsspprpspsrsppssrpsprppspsrrsprpppssssrrpsrssrpprprrrrsppsprsrpsrppppspspprprsrppprssrsrpsprspsssprpssppprrprprrrsrrspspppprrrrsppssspsspsrsspsrsprssrsprprsrssrrppprrsssrsrrrrpsrrppprprppppspprpssrsssrssspsrsrpsprrsspppspppprpsrrrpsrpprsrspprsssrpspsrsrrsssrrsprssppr
human or machine,0.042,154,prrrprpprspsppppspsrrprrssssprpssrpssrssrprsrrpppsrsprrpssspsrssrsrrsrppppprpsprpsprrspsprrpsrsrppsrpprsrsrssspsprsrpppspsrrsrrrpsrrrpppppsprsrppprpsrrprrpssrsssrpspspsrssrrppprsprpssrsrsrprpppprrpspsrrrpsrprppspssprrrprpsrrrrsssrsrpprrpsrppssppsspsspsprprpprprprpsppspsspprssssrpsrssrsrppsprrpprrsrr
human or machine,0.042,155,sprrppsppsrprprsrrpprsrrsppspsrprpspprrpsppspsrspppsppppppprrrrsssrrssppppprrpsrsrrpspspsrrpsrprsrppppppppsrppssrpspprpsrpsrsrsrpppsrrpssprrrpspssprrrsrrsrrrpsprrpsspprssprspppsrsrrrrrssssprsprrrprrpsrrprpsrssrrrpprprrprsrsprpsppprrprrpsrsrprrssssrpsprsprsrpsprssrsppsrpspppppspsrsrsrppsrrsrsrpprprrs
human or machine,0.042,156,rpsprpsprpsprpsprpsprpsprpsprpsprpsprpsprpsprpsprpsprpsprpsprpspprpsprpsprpsprppsprpspprpsprpsprpsprpspprpsprppspprpsprppsprpspprpspprppsprpsprpspprpspprspprpsprpsprspprpsprpsprpsprpspprpsprppsprpsprppsprpspprpsprppsprpsprpspprpsrpsrpsrpsprpsprpsprpsprpsprpsprpsprpsprpsprpsprpsprpsprpsprpsprpsprpspr
human or machine,0.042,157,ppssrrrsprsrppprprppspspprpprsssppppprsrrrpsrssrpsrsrpssrspspprrprrprspsrpsrrrrrpsrpprrsrpppssspprppsssspppssrrppppsrsrrrsspsssrsrrsrsppsrrprpprrspppspprpsprsrpsprspsrsrrsprrpsssppprpspprsprsrppsppprpprrrprspppsrprpppppsrprrspprprprsrspssprrsssssrrprsrsrrrrsrsrrsspsppspppprpsssrppprrssssrprrssssssps
human or machine,0.042,158,ppsspsprpssrsrrprrsrpsrsrrsppsrpspspppsrppppprppsppsprrrppsrprsspssprprssppppppsrssrpppprrrprsrprssrspprrsrsprpssssrrssspssrpsspsrpsprrsrrpprsprpsprrsprsrrsprrpprpsprpppppspsrppsprrrsprpprppssrprprrprsspppprrrrssprsprsprsrsprpppsrssppsprsssrrrprsrssssrsrsrsspppssrprsrpsprsppssppppppsprpssspspspsssrr
human or machine,0.042,159,rrppssssprprpspsrrrprsprpsrpsrpsspsssrprprprpppppsppsrpsprpsrsspssppprpsprpsprpppspprsprsprpsrpsrpsrpsprpsrpspssrsrpsrpsprsprsprsprpsprssssppsprprpsprpsprsprrrrrppsrprpsprpsrpsrpsrrrrpsprpsprpsprpsrpsprppsrppppsprpsprpsprsprpsrsrsssssprpsprsprsprpsprppppsprpsprsprsrrssrsrpsprpsrpsprpsprpsrpsprpsprpp
human or machine,0.042,160,rssrsrsrpsprsprsprsprsprsprsprpsrpsrpsrpsprsprspssspspsprpsrpsrpsprpsrpsprsprpsrpsprsprpsprsprpsrpsprsprpsprsprpsrpsprpsprsprpsrpsprpssprpsprsprpsrpsprpsprsprpsrpprsrpsprpsrpsprpsprsprpsprsprpsprsprppsprspsprsprpsprsprprpspsprpprsprpsprsprpssprpsprpsrpsprpsprpsprsprpsprpsprpsrpsrpsprpsprpsrpsprpprps
human or machine,0.042,161,sspspsprspsprrrprrprssprpsrprspsprsprprspsprsprpsrpsprsprpsrpsrpsprpsrpsrprsprpspprrpsrpsrpsprsppsrrspsrprpsrpsrprsprssprrpsprsppprsprsprprspsrpsrpsrprpsprsprsprspsprprsrprspsrpsrsrprspsrpsrpsrpprspsrpsrrpprspprpsrprsprspprsprspsprrpsrsprspprspprsprsppsprspsprssrprspsrpsprsprspsrprspsrpprsprspsrprsp
human or machine,0.042,162,sprpprprpsprpsrpssrspsrppsrpsprpsprppspprpspprpsrspsprpsprpprpsprpsprsrsrrrprsprpsprrppsprpsprpsprprpsprpsprpsprpspprpsprpprprpsprpsrpssrspsrppsrpsprpsprppspprpspprpsrspsprpsprpprpsprpsprsrsrrrprsprpsprrppsprpsprpsprprpsprpsprpsprpspprpsprpprprpsprpsrpssrspsrppsrpsprpsprppspprpspprpsrspsprpsprpprpsp
human or machine,0.042,163,psrpsprsprspsprprsppsrprspsrpsrrsppsrpsrprpsrpsrpsrpspsprsprsprsprprpsrpsrpsrprspsrpsrpsrprsprsprsprspsrsprpsrsprrpssprsprsprsprspprpsprpsprpsprpsprpsprpsprspsrpsprprprpspsrprspsrprsprspsrpsrpsrppsprpsrprspsrrpssrppsrpsrsrprspsrprsprspsrpsrprsrprsprsprspsrprpsprsprpsrprprprsprsprsprpsspprpsprpsprpsr
human or machine,0.042,164,ssrpsrspssrsrsrpsprprrrrrrsrrprpsssrrrssrssrrssrsssrprpsspppprrprssrppsrpsrsppppssrrrrsssrrpspsrrrpspsrsrsrspppssrprsrrsrsspsssssrrrsrpsrprpsrsrsprsspspsrrprrspsprpspssrpsssrpspssssssssppsssssrssprsrpsprprspssssprrssrpsppsprprrrrssprrsspsprrrsrrrppsssrrpsprpprssppprpsssssprssprsprsprsppsssspsrssrpps
human or machine,0.042,165,prsrrpppprpprsrspppsspsrssrpsprpssrrsrsssrspppsppsrpprsspspprsrpppspsspsrpssprppprsrrrrsrsrprrrpppprppppsppspprssprprpsrspsspprpssspprsrssprrspsprprspppsprrprrspsprprsrpsspsrsrppsspsspprpsppsrpsrpprspspprrrpppprprpspsrpprprrssrsspsppsrpsspsrsssssppsppprrprrprssrsspsrppspssprprppsrpsrrsprrrrssprrppsp
human or machine,0.042,166,rpprppssspssprprpsprpprprspsrpsrpsrpsrpsprsssprpprpspsrrprpsprsprpsprpsrsrsrpspsprppspspprpspprpsrsrsrsrpsrpsrpsrpsprpspprppsprpspprpsrpspprsprpsprpsppprpprppssspssprprpsprpprprspsrpsrpsrpsrpsprsssprpprpspsrrprpsprsprpsprpsrsrsrpspsprppspspprpspprpsrsrsrsrpsrpsrpsrpsprpspprppsprpspprpsrpspprsprpsprp
human or machine,0.042,167,sprsppsrrrrprprpssppsppsprsrsrrsprprrrsspprrsrssrrpssrpssprsrrsprrrsssrppsspsrrrrprsrprppprspsrrrpssprsssssprsppsrssrrsprprrprprsssprrpsrrprppssrrppspsrrssprspprppssrprrrsspppprspsssrsrppspsrpsssrssprrrpssprrssrpspspppsppppsrpsrpsprpsrssrrsrprrrprrssppsrsrsprpprprsrpsrsrsrrrrssrpsspprssrprspprsspspp
human or machine,0.042,168,pppsppsssrsrprrsppssrrrrrspppsrpspprprpsrsrpspprsprpprspsrsrppsssrrrspssrsprprpprppprsrsrpsrrsrrrrrrsrrrspssrsppppppsrsrrprpppsrsrrssppssspsrsprprrpppsspsprppsprsrrspsrsspsspprpsrrppsssspssssrsspssssprrprprsssprppssppssprppsrsssrrsprspsrsspsrsrsssrprrrsspsssssspsprprprrspsprrprrsrsppprprpsssppssrrps
human or machine,0.042,169,rrspprrrrsssppsspppspprsrppppppppsrrprssrrpssspssssrsrrrrpssppppprrsppprsrprsprpsppspprpspsssprsspprppprprrprspsprrpssrsspssrsrrrppppppsrrprrprpprrsprrrsrrrprsrspprssspssppspspprrrrpssrprrsppsrrrrrspssspsprpppsrpsrrpprsprpprprsrppprprsprrssrpsprssssrppsrrpprrsprpsrsrrpsrpssprrprprrprprssprrrsssrpsrs
human or machine,0.042,170,rsprsprsprspsrprprspsrpsprspsrprpsrprsprspsrprspsrprpssrppsrpsrrsprpsprsprsprsprsprspsrprprspsrpsprspsrprpsrprsprspsrprspsrprpssrppsrpsrrsprpsprsprsprsprsprspsrprprspsrpsprspsrprpsrprsprspsrprspsrprpssrppsrpsrrsprpsprsprsprsprsprspsrprprspsrpsprspsrprpsrprsprspsrprspsrprpssrppsrpsrrsprpsprsprsprsprs
human or machine,0.042,171,rsprssrpsrpsrpsprsrpsrpsrppsrsrpsrsrpsrpsprprsrspsprrsprsprsprspsrpsrpsrprspsrppsrprspsrpsrsprsrprpsrspsrrsppsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrprspsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrprspsrprsprprspsrpsrppsrpsrppsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrpsrprspsrprsprspr
human or machine,0.042,172,srsspprpsrppsrsrpspssrprsrprsspprsprpprrrsppsprprssrrrrpssrpsssssppsrrrsrrpsrsprpsrpprrrpsspsssprsrpprrsppsrrrrrpprrssprsprrspsrrrrrrsprrsrrrrsssrsrpssssrsrrspssrpppsrpppsrpsrpspsrrrsrrspsrprssrrsppprrrprsrrppprspssrrrsspsrsprrssssspppssspsrrppspsrrsrrrrssrsrsrppspssrpppsrppprprrrrrpsssssprrprpppppp
human or machine,0.042,173,sprsprsprsprpsrpsrpsrpsrpsrpsrpsrpsrprsprsprsprsprsrpsrpsrpsrpsrpsrpsrpsrpsprsprsprsprpsrpsprsprprsprsprpsrpsrpsrprpsrprsprprprsprprpsrprpsrprpsprprsprprsprpsprprpsrprsprprpsrprpsrppsrprprprprprpprprprpsrprpsrprspsrpprsrprpsprsprprsprprsprprrsprpsrprpsrprpsrprprsprprsprprpsrprpsrprpsrpsrprsprpsrpspr
human or machine,0.042,174,sprpsppsrpsprpspspsprspprpspprsppsrpsprspsspsrprpsprpsrpsprprpsprsprpsrpsprsprpsprpprpsrpsprpsrpsrpsrpsprpsrpsprpsrpsprsppspsrpsrpsprsprpsprsprsprpsrprpprsprppsrpsprpsprsprpsprsprpsrpsprspprspsrpsprsprpsprsprpsrpsrpsprsprpspsrpsprsprpsrpsprprprpsprppsrspsprsprsppprsprpsppsrpsprpspspsprspprpspprsppsr
human or machine,0.042,175,sssppprpssprpsprpspsssrprppprssssrrprrprpsppspsrprpsrsprsrpsprsprsrrrrrrssssppprpssprpsprpspsssrprppprssssrrprrprpsppspsrprpsrsprsrpsprsprsrrrrrrssssppprpssprpsprpspsssrprppprssssrrprrprpsppspsrprpsrsprsrpsprsprsrrrrrrssssppprpssprpsprpspsssrprppprssssrrprrprpsppspsrprpsrsprsrpsprsprsrrrrrrssssppprp
human or machine,0.042,176,sprsrprrssrrssrppsrrppspppprrppprppprrprprppssrssprpsrrprrpspppsrprrrrprpppprrsprspsrrpppprsspprsssrsrssrssssspprrppppssprrppspsspssrrrrrprprrsrrrpspprrppsprprsprspprsprrpprprpprrrrrpspspsssrrrppsrrrrsssrppssrssrspprprprpsrsrrrpspsrrpsspspsrpprpsrrpprprspsrrrrsrpppsrrrrrssppsppspsppprpssrssssrspsrsr
human or machine,0.042,177,srprppprrppsssrrprpssprsrpssrppsrssspprrpsppprprpsspspsrrsrrpsrrprprrsrrppprrpprsrprspspsrsrrrppspspsrppppsssrsrpsrpsrssprrpspppspprsssspsspsrrpssrsspssppsrpsrrsprprrsrrrsrsspsssprsrprsssrsrrpsrprprprrsppsspprsrrppsrrrssprsssrssprssrrppprspsssspppsprsrrssppsrrppprsrrssprprpssrpspprspsrssrssrppprpspp
human or machine,0.042,178,prsrpprsprprspsrpspprpsprprsprsprsprpspsrprsppsrpprprsprsrsprsprsprsprsprprsrsprsprsprprsprprsprspsprprprsprsprsprspsprsrpsrspprsrprprsprsprsprsprsprpsprsrspsprppsprprsprsprsprsprspsrprsprsprsprsprsprpsrsprsprsprppprssprpsrpsprprprprrpspprpprprspsrprpprsrpprsprprspsrpspprpsprprsprsprsprpspsrprsppsrp
human or machine,0.042,179,pppppsprrprprrpspssrssssprssspsrpprsprrpprrsrrprprrrsrsspspsssrpspprrpsspssrrspssprrsprpspsspspsrsrsrssssspsspppsrspssssrrsrsrprpssrspprpsppprsspssrprsrprspprpsprrsssprpprssprpsrsprrsrsprpprsprprpsppsrrrsprppsrrpspsrrsprpssssppspspsssrprpprppprsppsspprrprprrssrrrssrrrrsssrprppprrrrspprsppsprrssprprp
